keys,en,de,fr
,,,
INFANTRY,Infantry,,
INFANTRY_DESCRIPTION,"The cheapest unit available in AWBW, Infantry are nonetheless an incredibly important unit and should not be overlooked.",,
,,,
MEDIUM_TANK,Medium Tank,,
MEDIUM_TANK_DESCRIPTION,"Larger, slower, and considerably more powerful than Tanks, Medium Tanks (Often abbreviated Md. Tank) are forces to be reckoned with.",,
,,,
RECON,Recon,,
RECON_DESCRIPTION,"Light, fast, and inexpensive, Recons make excellent scouting and harassment units.",,
,,,
ROCKET,Rocket,,
ROCKET_DESCRIPTION,"The more advanced version of Artillery, Rockets trade higher damage and a much larger range for lighter armor and a more restrictive movement type.",,
,,,
TANK,Light Tank,,
TANK_DESCRIPTION,"Inexpensive, fast, and able to hold its own against most other land units, Tanks are a cornerstone unit in any army.",,
,,,
NEO_TANK,Neo Tank,,
NEO_TANK_DESCRIPTION,,,
,,,
MEGA_TANK,Mega Tank,,
MEGA_TANK_DESCRIPTION,,,
,,,
MISSILE,Missile,,
MISSILE_DESCRIPTION,,,
,,,
PIPERUNNER,Pipe Runner,,
PIPERUNNER_DESCRIPTION,,,
,,,
B-COPTER,B-Copter,,
B-COPTER_DESCRIPTION,,,
,,,
BLACK_BOMB,Black Bomb,,
BLACK_BOMB_DESCRIPTION,,,
,,,
BOMBER,Bomber,,
BOMBER_DESCRIPTION,,,
,,,
FIGHTER,Fighter,,
FIGHTER_DESCRIPTION,,,
,,,
STEALTH,Stealth,,
STEALTH_DESCRIPTION,,,
,,,
T-COPTER,T-Copter,,
T-COPTER_DESCRIPTION,,,
,,,
BATTLESHIP,Battleship,,
BATTLESHIP_DESCRIPTION,,,
,,,
BLACK_BOAT,Black Boat,,
BLACK_BOAT_DESCRIPTION,,,
,,,
CARRIER,Carrier,,
CARRIER_DESCRIPTION,,,
,,,
CRUISER,Cruiser,,
CRUISER_DESCRIPTION,,,
,,,
LANDER,Lander,,
LANDER_DESCRIPTION,,,
,,,
SUB,Sub,,
SUB_DESCRIPTION,,,
,,,
,,,
AIRPORT,Airport,,
AIRPORT_DESCRIPTION,"Airports are an important hub for all air units, being the only tile that is able to deploy, repair and resupply them, while also providing funds. Freshly built units may not take actions on the same turn they are deployed.",,
,,,
BASE,Base,,
BASE_DESCRIPTION,"Bases providing income, repairs and supplies to land units. Crucially, they are also are where all land units are deployed from, at the cost of funds. Units are considered 'waited' and cannot take actions on the same turn they are deployed.",,
,,,
BRIDGE,,,
BRIDGE_DESCRIPTION,Bridges allow ground units to cross rivers and seas unhindered.,,
,,,
BEACH,Beach,,
BEACH_DESCRIPTION,Beaches provide an area for Landers and Black Boats to load and drop off units to battle.,,
,,,
CITY,City,,
CITY_DESCRIPTION,Cities are the most basic property and the most common one seen. They provide income every turn and can be used to repair and resupply land units that stand on them at the start of each turn.,,
,,,
COM_TOWER,Com Tower,,
COM_TOWER_DESCRIPTION,A Com Tower (Communication Tower) is a property for enhancing the skills of allied units. Each captured tower increases its allied units' attack strength by 10%.,,
,,,
HQ,Headquarters,,
HQ_DESCRIPTION,The most importnat property on the map, if the HQ is captured the team is defeated and can no longer play.,
,,,
LAB,Lab,,
LAB_DESCRIPTION,Laboratories act as research centers and can unlock restricted units.,,
,,,
MOUNTAIN,Mountains,,
MOUNTAIN_DESCRIPTION,"Montains provide a large amount of defence, but can only be traversed by infantry and air units. They also increase the vision range of any soldier unit on them by 3.",,
,,,
PIPE,Pipe,,
PIPE_DESCRIPTION,Pipelines are nigh-impassable terrain that are used for carrying materials.,,
,,,
PIPE_WEAK,Weak Pipe Spot,,
PIPE_WEAK_DESCRIPTION,"A weak spot, which can be damaged.",,
,,,
PIPE_BROKEN,Broken Pipe,,
PIPE_BROKEN_DESCRIPTION,A broken weak spot of the pipe system.,,
,,,
PLAIN,Plains,,
PLAIN_DESCRIPTION,Plains give a small amount of terrain cover and are easily traversed.,,
,,,
PORT,Port,,
PORT_DESCRIPTION,Ports are a property for building and maintaining sea units.,,
,,,
REEF,Reef,,
REEF_DESCRIPTION,Reefs give some defence to sea units and also make excellent hiding places.,,
,,,
RIVER,River,,
RIVER_DESCRIPTION,"Rivers restrict the movement of ground units and can only be traversed by Infantry, Mechs and air units.",,
,,,
ROAD,Road,,
ROAD_DESCRIPTION,"Roads provide no defensive cover, but allow unimpeded movement for all ground units.",,
,,,
SEA,Sea,,
SEA_DESCRIPTION,Seas make up the majority of the terrain that navies battle on.,,
,,,
SILO,Silo,,
SILO_DESCRIPTION,Missile silos are activated by an Infantry or Mech unit. The missile they fire has a 5x5 square diamond shape and does 3HP of damage to any unit caught in the blast and doesn't distinguish between ally or enemy. Each silo can only be used once.,,
,,,
WOOD,Wood,,
WOOD_DESCRIPTION,"Woods are more difficult to traverse than plains, but offer better terrain cover and serve as a hiding spot in Fog of War.",,
